,cond((Int)),disp((Int)),cond(Diversity),cond(PEAK),cond(Position),cond(WU),cond(Diversity:PEAK),cond(Diversity:Position),cond(Diversity:WU),cond(PEAK:Position),cond(PEAK:WU),cond(Position:WU),cond(Diversity:PEAK:Position),cond(Diversity:PEAK:WU),cond(Diversity:Position:WU),cond(PEAK:Position:WU),cond(Diversity:PEAK:Position:WU),df,logLik,AICc
32,0.606924063,+,+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,24,-20988.97499,42025.96664
33,0.596987335,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,27,-20986.42065,42026.86231
34,0.629341312,+,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,27,-20988.52797,42031.07696
35,0.623438074,+,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,24,-20994.12248,42036.26164
36,0.625536024,+,NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,NA,NA,21,-20998.01382,42038.04048
37,0.59559924,+,+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,23,-20996.03868,42038.09269
38,0.615158479,+,+,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,NA,NA,22,-20997.78412,42039.5823
39,0.611106579,+,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,25,-20997.07285,42044.16376
40,0.863159738,+,+,+,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,31,-21328.41032,42718.84821
41,0.916684642,+,+,+,+,+,+,NA,+,NA,+,+,NA,+,NA,NA,NA,28,-21337.18209,42730.38674
42,0.894279297,+,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,29,-21336.75461,42731.5334
43,0.807677938,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,25,-21345.70119,42741.42044
44,0.796144986,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,27,-21347.67806,42749.37713
45,0.855435906,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,23,-21355.90836,42757.83207
46,0.875512057,+,+,+,+,+,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,22,-21358.02221,42760.05849
47,0.85245354,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,25,-21355.25359,42760.52524
48,0.883703196,+,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,24,-21356.86444,42761.74556
49,0.857866526,+,+,+,+,+,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,21,-21365.08223,42772.1773
50,0.889565658,+,+,+,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,22,-21364.27638,42772.56683
51,0.86705343,+,+,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,23,-21363.38263,42772.7806
52,0.875095478,+,+,+,+,+,NA,NA,NA,NA,+,+,NA,NA,NA,NA,NA,20,-21366.94439,42773.90045
53,0.895688111,+,NA,+,+,+,NA,NA,NA,NA,+,+,NA,NA,NA,NA,NA,19,-21368.74225,42775.49506
54,0.692614102,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,31,-21453.27457,42968.5767
55,0.700425036,+,+,+,+,+,+,NA,+,+,+,NA,NA,+,NA,NA,NA,28,-21458.0477,42972.11796
56,0.608586969,+,+,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,27,-21459.30803,42972.63707
57,0.682207164,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,29,-21457.53542,42973.09501
58,0.601460662,+,+,+,+,+,NA,+,+,+,NA,+,NA,NA,+,NA,NA,23,-21463.96196,42973.93926
59,0.610862541,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,25,-21463.63183,42977.28172
60,0.670929012,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,25,-21470.44433,42990.90672
61,0.674883041,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,22,-21474.2959,42992.60586
62,0.65538574,+,+,+,+,+,NA,+,+,+,NA,+,NA,NA,NA,NA,NA,21,-21475.41331,42992.83946
63,0.667666778,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,23,-21474.0811,42994.17755
64,0.671436894,+,+,+,+,+,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,20,-21477.74413,42995.49994
65,0.692783355,+,+,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,23,-21475.51417,42997.04367
66,0.657844666,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,27,-21471.8288,42997.6786
67,0.68512982,+,+,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,20,-21481.64618,43003.30403
68,0.655425018,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,24,-21477.82389,43003.66444
69,0.661659326,+,+,+,+,+,NA,+,NA,+,NA,+,NA,NA,NA,NA,NA,19,-21483.17623,43004.36303
