cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-0.06679498736886645,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,34,5876.88375068895,-11685.16724917109,33.356839751195366,1.44545898649033e-08
-0.06981455595874841,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,+,NA,37,5878.720618383136,-11682.731494212007,35.792594710279445,4.27649830758016e-09
-0.06859603561477022,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,38,5878.791837719147,-11680.835379553417,37.68870936886924,1.6571134330726e-09
-0.06851705397839197,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,42,5879.1183110175525,-11673.323809298183,45.20027962410313,3.87467679415257e-11
0.02664341760067919,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5463.281939754381,-10910.5277983261,807.9962905961856,8.89582621680864e-177
0.022727838727516336,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5463.847265317871,-10909.649417853787,808.8746710684991,5.73387728636486e-177
0.032981733685231246,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5463.46872427931,-10908.892335776665,809.6317531456207,3.92690242320656e-177
0.0290613490182011,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5464.034113228856,-10908.013074790628,810.5110141316582,2.53000286360916e-177
0.022126252474922822,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5463.861212688595,-10907.667273710105,810.8568152121807,2.12829224311031e-177
0.027073335331503974,+,NA,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,10,5463.632408981535,-10907.209666295987,811.3144226262993,1.69302384459751e-177
0.023146831024883678,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,11,5464.197877313182,-10906.329556030578,812.1945328917081,1.09030890434738e-177
0.028366249225250804,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5464.051894209831,-10906.037589823874,812.4864990984115,9.42214758679513e-178
0.028471829178630687,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5464.048047703373,-10906.02989681096,812.4941921113259,9.38597484919607e-178
0.011198436620921112,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,13,5465.651195624954,-10905.211071631244,813.3130172910423,6.23266461176338e-178
0.02245853774126903,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,12,5464.215643958618,-10904.353033590674,814.1710553316116,4.05838425484727e-178
0.022554835840407777,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,12,5464.21180342883,-10904.345352531098,814.1787363911881,4.04282780085788e-178
0.02777248006564948,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5464.0658516452595,-10904.053448963958,814.4706399583283,3.49380924170748e-178
0.01754181214580155,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,14,5465.838091895026,-10903.570788557932,814.9533003643537,2.74467428742755e-178
0.010655199542706857,+,+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,14,5465.662891071819,-10903.220386911518,815.3037020107677,2.30357344284485e-178
0.021864665543112942,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,13,5464.229598379479,-10902.367877140294,816.1562117819922,1.50411803388827e-178
0.01162283260242142,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,15,5466.001942406168,-10901.883402884627,816.6406860376592,1.18053718285336e-178
0.016861445251460126,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,15,5465.855251966783,-10901.590022005856,816.9340669164303,1.01946617780818e-178
0.016997417676031364,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,15,5465.849775747451,-10901.579069567191,816.9450193550947,1.01389861592554e-178
0.03424696085485159,+,NA,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,13,5463.622994618829,-10901.154669618993,817.3694193032934,8.20044183200608e-179
0.02305899737128718,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,14,5464.285648471911,-10900.465901711703,818.0581872105831,5.81129873975708e-179
0.03033389211096136,+,+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,14,5464.188248309497,-10900.271101386874,818.2529875354121,5.27196900869724e-179
0.010946266645899467,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,16,5466.0190802965935,-10899.901580126203,818.6225087960829,4.38260496459748e-179
0.011080294368054282,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,16,5466.01361864736,-10899.890656827736,818.6334320945498,4.3587339604165e-179
0.01631472145390644,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,16,5465.8669568033,-10899.597333139616,818.9267557826697,3.76414142878135e-179
0.028360206228854528,+,NA,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,14,5463.785411732196,-10899.465428232272,819.0586606900142,3.52389651339646e-179
0.024441883905890093,+,+,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,15,5464.3507463527,-10898.58101077769,819.9430781445953,2.26451048489814e-179
0.029643545065410556,+,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,15,5464.206012079552,-10898.291542231394,820.2325466908915,1.95937264117335e-179
0.029738021341487078,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,15,5464.202175354244,-10898.283868780778,820.240220141508,1.95186946958102e-179
0.01039771916883966,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,17,5466.030782755544,-10897.907873898834,820.6162150234522,1.61735188793653e-179
0.023747321861029035,+,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,16,5464.368495316872,-10896.60041016676,821.9236787555255,8.41186661877126e-180
0.023844611603891112,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,16,5464.364664317406,-10896.592748167828,821.9313407544578,8.37970241211327e-180
0.029042924561156463,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,16,5464.219960055722,-10896.30333964446,822.2207492778252,7.25077341058271e-180
0.011585590959849408,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,18,5466.085903567015,-10895.999991007428,822.5240979148584,6.23035816790386e-180
0.01881304172302889,+,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,18,5465.992685721956,-10895.81355531731,822.7105336049754,5.67582528193351e-180
0.023152154358061502,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,17,5464.382440686775,-10894.611189761295,823.9128991609905,3.11127683220905e-180
0.012917455756203861,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,NA,19,5466.155272416472,-10894.119590059076,824.4044988632104,2.43326346924805e-180
0.01812807323922148,+,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,19,5466.0098260127315,-10893.828697251594,824.6953916706916,2.10388775289016e-180
0.018275011644473035,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,19,5466.004363486171,-10893.817772198474,824.706316723812,2.09242654224349e-180
0.024343216972233947,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,18,5464.438444727164,-10892.705073327726,825.8190155945595,1.19958418246525e-180
0.012232040252365805,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,20,5466.1723903648945,-10892.133672411115,826.3904165111708,9.01472739200671e-181
0.012372446022750765,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,20,5466.166942829272,-10892.12277733987,826.4013115824164,8.96575285977584e-181
0.017582427906911915,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,20,5466.021523102085,-10891.831937885496,826.6921510367902,7.75232155514694e-181
0.011694268408783754,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,21,5466.184085638404,-10890.135893750414,828.3881951718722,3.32001827180598e-181
0.012872523941678047,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,22,5466.239137398999,-10888.22381163481,830.3002772874752,1.27625400509708e-181
0.017560629836906275,+,+,+,+,+,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,23,5466.254041570886,-10886.230417145796,832.2936717764896,4.71060842587883e-182
0.011665352222903751,+,+,+,+,+,+,NA,+,+,+,NA,NA,+,NA,NA,NA,24,5466.4165300414825,-10884.531173290512,833.9929156317739,2.01414572867724e-182
0.017008422588601135,+,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,24,5466.266064215726,-10884.230241639,834.2938472832866,1.73278393093904e-182
0.011116344523367972,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,25,5466.428549367147,-10882.529972413207,835.9941165090786,7.40518035937173e-183
0.012306353586836299,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,26,5466.484305211167,-10880.615225071215,837.9088638510711,2.84284733553649e-183
-0.021614393378465872,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5374.874479560387,-10741.73894660513,976.785142317156,1.98222448160243e-213
-0.02554163945718853,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5375.416414330063,-10740.817806126326,977.7062827959599,1.25063253363643e-213
-0.015299066432226593,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5375.060765360085,-10740.106508186369,978.417580735917,8.76341415947794e-214
