"","cond((Int))","disp((Int))","cond(DC)","cond(diversity)","cond(position)","cond(smooth)","cond(DC:diversity)","cond(DC:position)","cond(DC:smooth)","cond(diversity:position)","cond(diversity:smooth)","cond(position:smooth)","cond(DC:diversity:position)","cond(DC:diversity:smooth)","cond(DC:position:smooth)","cond(diversity:position:smooth)","cond(DC:diversity:position:smooth)","df","logLik","AICc","delta","weight"
"13",2.00472572895479,"+","+","+","+","+","+","+",NA,"+",NA,"+",NA,NA,NA,NA,NA,17,107009.713841131,-213985.27399065,8.57342778943712,0.00470388072202348
"14",2.00295121431619,"+","+",NA,"+","+",NA,NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,17,107009.382858007,-213984.612024402,9.23539403776522,0.00337840846209346
"15",2.01317033245581,"+",NA,"+","+","+",NA,NA,NA,NA,"+","+",NA,NA,NA,NA,NA,17,107009.019570578,-213983.885449544,9.96196889533894,0.00234929973962326
"16",2.00688532644425,"+","+","+","+","+","+","+",NA,"+",NA,"+","+",NA,NA,NA,NA,18,107009.721276603,-213983.270737079,10.5766813601949,0.00172764821121448
"17",2.01653948044193,"+","+",NA,"+","+",NA,"+","+",NA,NA,"+",NA,NA,NA,NA,NA,18,107009.6741786,-213983.176541073,10.6708773661521,0.00164816585271126
"18",2.00710036439046,"+","+","+","+","+",NA,NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,18,107009.409924513,-213982.6480329,11.1993855394539,0.00126542619509266
"19",1.99789409259171,"+","+","+","+","+",NA,NA,NA,NA,"+","+",NA,NA,NA,NA,NA,18,107009.397586798,-213982.623357469,11.2240609703294,0.00124990964301812
"20",2.0090752237936,"+",NA,"+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,NA,NA,18,107009.046389218,-213981.92096231,11.9264561292366,0.000879742246307257
"21",2.02076239320226,"+","+","+","+","+",NA,"+","+",NA,NA,"+",NA,NA,NA,NA,NA,19,107009.701941324,-213981.212927874,12.6344905654551,0.000617458428849873
"22",2.01149418500674,"+","+","+","+","+",NA,"+",NA,NA,"+","+",NA,NA,NA,NA,NA,19,107009.690166899,-213981.189379024,12.6580394155753,0.000610230844676477
"23",2.0029357030585,"+","+","+","+","+",NA,NA,"+","+",NA,"+",NA,NA,NA,NA,NA,19,107009.43753856,-213980.684122347,13.1632960926217,0.000474000786488418
"24",2.00304801552085,"+","+","+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,19,107009.436436778,-213980.681918782,13.1654996576544,0.000473478828304134
"25",1.99372928544769,"+","+","+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,NA,NA,19,107009.425197073,-213980.659439372,13.187979067472,0.000468186861775998
"26",1.99380903470281,"+","+","+","+","+","+",NA,NA,NA,"+","+",NA,NA,NA,NA,NA,19,107009.424116795,-213980.657278816,13.1901396238536,0.000467681362808925
"27",2.01657567103954,"+","+","+","+","+",NA,"+","+","+",NA,"+",NA,NA,NA,NA,NA,20,107009.730006833,-213979.248905348,14.5985130911286,0.000231273381784011
"28",2.01666655053263,"+","+","+","+","+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,20,107009.728632905,-213979.246157492,14.6012609475292,0.000230955846947774
"29",2.00730839005389,"+","+","+","+","+",NA,"+",NA,"+","+","+",NA,NA,NA,NA,NA,20,107009.718223551,-213979.225338783,14.6220796566922,0.0002285642149125
"30",2.00740555007663,"+","+","+","+","+","+","+",NA,NA,"+","+",NA,NA,NA,NA,NA,20,107009.716766103,-213979.222423887,14.6249945527525,0.000228231337082712
"31",1.99888724666169,"+","+","+","+","+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,20,107009.463984582,-213978.716860844,15.1305575950246,0.000177253024679773
"32",1.98964663652589,"+","+","+","+","+","+",NA,NA,"+","+","+",NA,NA,NA,NA,NA,20,107009.451701435,-213978.692294551,15.1551238880784,0.000175089116810698
"33",2.01246941499766,"+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,NA,21,107009.756789463,-213977.2813014,16.5661170392414,8.64700842797404e-05
"34",2.00320667355897,"+","+","+","+","+","+","+",NA,"+","+","+",NA,NA,NA,NA,NA,21,107009.744961939,-213977.257646352,16.5897720873763,8.54533816663298e-05
"35",2.01463389404214,"+","+","+","+","+","+","+","+","+",NA,"+","+",NA,NA,NA,NA,22,107009.764239126,-213975.274015089,18.5734033505432,3.16948862866292e-05
"36",2.00535630421287,"+","+","+","+","+","+","+",NA,"+","+","+","+",NA,NA,NA,NA,22,107009.752459477,-213975.250455791,18.5969626485603,3.13237220350018e-05
"37",2.01080125205659,"+","+",NA,"+","+",NA,"+","+",NA,NA,"+",NA,NA,"+",NA,NA,22,107009.695004005,-213975.135544847,18.7118735923432,2.95747285390284e-05
"38",2.00557227844989,"+","+","+","+","+",NA,NA,"+",NA,"+","+",NA,NA,NA,NA,NA,22,107009.440587342,-213974.626711521,19.2207069186261,2.29313178497327e-05
