cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-9.488721201047067,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,27,59695.09714467033,-119335.8136246881,24.23419957740407,1.89257379531698e-06
-9.501928683843557,+,+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,+,NA,27,59694.85938775257,-119335.33811085258,24.709713412928977,1.4920944161321e-06
-9.4848671936490625,+,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,+,NA,26,59693.412886371625,-119334.47238739213,25.57543687337602,9.6784730312488e-07
-9.485606934748542,+,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,28,59695.30610685443,-119334.20324871263,25.844575552880997,8.45987843718046e-07
-9.499343537585409,+,+,+,+,+,+,NA,+,+,+,+,NA,+,NA,NA,NA,28,59695.13669890164,-119333.86443280705,26.183391458456754,7.14152866088853e-07
-9.488242033843902,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,28,59695.105231376096,-119333.80149775597,26.246326509542996,6.92030141703713e-07
-9.48946417445875,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,+,NA,NA,28,59695.09777657784,-119333.78658815945,26.261236106060096,6.8689037836097e-07
-9.488989817228651,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,+,NA,28,59695.029593772306,-119333.65022254839,26.397601717122598,6.41617228283484e-07
-9.501503677904946,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,+,NA,28,59694.86745813836,-119333.3259512805,26.72187298501376,5.45583723783409e-07
-9.48647807255123,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,29,59695.3067605723,-119332.17523399094,27.872590274564573,3.06892532571785e-07
-9.488991183277431,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,29,59695.10587075811,-119331.77345436257,28.274369902937906,2.5103887694048e-07
-9.488534867308886,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,+,NA,29,59695.03767943721,-119331.63707172078,28.41075254473253,2.3449083276828e-07
-9.48520383699602,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,30,59695.30829596996,-119330.14796004271,29.899864222796168,1.11370296691499e-07
-9.487681231940478,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,30,59695.107652517436,-119329.74667313766,30.301151127845515,9.11236342801563e-08
-9.487272820579426,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,30,59695.03943939589,-119329.61024689458,30.43757737093256,8.51150679288674e-08
-9.48889335785052,+,+,+,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,32,59695.389826934996,-119326.24726163404,33.8005626314698,1.583957335051e-08
-9.502251181374454,+,+,+,+,+,+,NA,+,+,+,+,NA,+,NA,+,NA,32,59695.15200202571,-119325.77161181546,34.27621245004411,1.24869805035728e-08
-9.492331201547815,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,+,+,NA,32,59695.11345442367,-119325.69451661139,34.35330765412073,1.20147965945853e-08
-9.48968624433443,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,33,59695.39044934077,-119324.21508930181,35.832734963696566,5.734068335389e-09
-9.489285397462504,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,+,NA,33,59695.32229222083,-119324.07877506193,35.96904920357338,5.35627175533862e-09
-9.491888228212026,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,+,NA,33,59695.12154281292,-119323.67727624612,36.37054801938939,4.382059227284e-09
-9.488452111073522,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,34,59695.392049558795,-119322.18384691078,37.863977354732924,2.07674982910918e-09
-9.488032071674876,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,34,59695.323889282015,-119322.04752635722,38.00029790829285,1.93991433070439e-09
-9.490581226139586,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,34,59695.123327051755,-119321.6464018967,38.401422368813655,1.58737479980344e-09
-9.492614378481036,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,+,NA,37,59695.40615224977,-119316.10256194528,43.945262320223264,9.92772941396291e-11
-9.491370009789822,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,38,59695.407751984436,-119314.067208084,45.980616181506775,3.58821499170113e-11
-9.49259609362319,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,42,59695.4153054553,-119305.91779817369,54.13002609182149,6.09897114915736e-13
-9.306526096468989,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,59661.69360690761,-119305.34210103327,54.705723232240416,4.57346682650137e-13
-9.294318733442543,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,59661.84554019654,-119303.635928726,56.411895539509715,1.94874459738527e-13
-9.305068696222202,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,59661.720475476926,-119303.38579928677,56.66202497873746,1.71964977245013e-13
-9.292854531341037,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,59661.87245497179,-119301.67871134779,58.36911291771685,7.32403769024632e-14
-9.30463319155324,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,59661.72835144997,-119301.39050430416,58.65731996134855,6.34113802220609e-14
-9.30590595618026,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,11,59661.72116737587,-119301.37613615596,58.671688109548995,6.29574606160564e-14
-9.29462568777487,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,59658.6535689684,-119301.27105675415,58.77676751135732,5.97350869642062e-14
-9.309092433554413,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,13,59663.31421703943,-119300.5371144602,59.51070980531222,4.13862384972134e-14
-9.292390221754616,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,59661.88033583074,-119299.68241733492,60.365406930592144,2.69936015822167e-14
-9.293661152043777,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,12,59661.87312004572,-119299.66798576487,60.37983850063756,2.67995226143661e-14
-9.305466181008104,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,12,59661.72904116699,-119299.37982800741,60.66799625809654,2.32035479470471e-14
-9.2931662173891,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,59658.68058339354,-119299.31605400513,60.731770260375924,2.24753284573206e-14
-9.2969502652174,+,+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,14,59663.464900095474,-119298.82440495882,61.223419306683354,1.75770429267374e-14
